id	name_road	location_road	typecode	name_type	towncode	adcode_district	name_district	address	count	source
B02F38JQZX	深圳湾公路大桥	113.965142,22.468842	190307	地名地址信息&交通地名&桥	440300000000	440300	深圳市	深圳市	3	1
B02F37V258	红桂路	114.112270,22.550174	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	141	0
B0FFFAA5KE	滨河宝安立交	114.110133,22.534962	190306	地名地址信息&交通地名&立交桥	440303001000	440303	罗湖区	罗湖区	30	1
B0FFFAA5KT	滨河红岭立交	114.104884,22.534779	190306	地名地址信息&交通地名&立交桥	440303001000	440303	罗湖区	罗湖区	31	1
B0FFGQ52U5	船步路	114.114634,22.534946	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	70	0
B0FFGQ558X	园岭七街	114.104393,22.553853	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	89	1
B0FFGQ57ID	金塘街	114.107609,22.538404	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	55	1
B0FFGQ5O4Z	嘉宾桥	114.112467,22.538701	190307	地名地址信息&交通地名&桥	440303001000	440303	罗湖区	罗湖区	30	1
B0FFGQ6IN9	松园南九巷	114.110957,22.553432	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	148	0
B0FFGQ6TJG	大剧院北街	114.105039,22.543576	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	115	0
B0FFGQ754F	蔡屋围三街	114.107023,22.542381	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	112	1
B0FFGQ755E	红宝路	114.107310,22.545713	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	64	0
B0FFGQ7ADB	蜜园路	114.107959,22.558021	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	112	0
B0FFGQ8FQD	园岭六街	114.104348,22.554743	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	87	1
B0FFGQ8ID4	红围街	114.112162,22.544986	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	123	0
B0FFGQ8LJZ	红桂一街	114.105428,22.548561	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	136	0
B0FFGQ8TAH	松园西街	114.107868,22.551098	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	143	0
B0FFGQ9CLX	蔡屋围五街	114.108808,22.544450	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	121	0
B0FFGQ9QH3	滨河大道	114.107738,22.535438	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	46	1
B0FFGQ9R9V	渔民村路	114.112500,22.533692	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	67	0
B0FFH02H1H	蔡屋围二街	114.106598,22.542419	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	113	1
B0FFH02H2I	园岭八街	114.104400,22.552380	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	89	0
B0FFH02HBI	桂园北街	114.111925,22.553731	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	151	0
B0FFH02IHU	松园路	114.106872,22.552840	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	102	0
B0FFH02II7	木棉花街	114.109710,22.536965	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	83	0
B0FFH02III	广场北街	114.109514,22.545351	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	122	0
B0FFH02IJ3	嘉宝田辅道	114.109689,22.556480	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	131	1
B0FFH02IKJ	滨河大道辅道	114.107632,22.535259	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	45	1
B0FFH02J2X	松园南街	114.106112,22.551414	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	147	0
B0FFH02J4L	蔡屋围一街	114.106273,22.543031	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	114	0
B0FFH02JCS	宝安南路	114.110810,22.544775	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	120	0
B0FFH02K2J	园岭九街	114.104441,22.550902	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	83	1
B0FFH02K5R	金华街	114.105514,22.538450	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	96	0
B0IA3AQONC	蔡屋围南街	114.108450,22.540340	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	103	1
B0IA3AS05O	解放路	114.107852,22.541833	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	112	0
B0IA3AS41X	蔡屋围西街	114.108450,22.540340	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	103	1
B0IA3GKOA8	深南路	114.108511,22.541382	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	111	0
B0IA3GMDTA	深南路	114.108266,22.541288	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	58	1
B0IA3MOBE8	红荔路	114.104565,22.549247	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	73	1
B0IA3MOQ25	笋岗路	114.107204,22.555849	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	85	1
B0IA3MR836	红岭中路	114.104608,22.548639	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	132	0
B0IA3PG9YV	桂园路	114.112593,22.547654	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	131	0
B0IA3PHR9K	桂圆北街	114.109720,22.553855	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	148	1
B0IA3PIZOX	桃园路	114.108225,22.558950	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	62	1
B0IA3SUTMP	船步路辅路	114.111608,22.534493	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	70	1
B0IA3ZTTBC	红宝路	114.108553,22.546530	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	130	0
B0K6F9R0T0	宝安南路(南)	114.111914,22.538205	190301	地名地址信息&交通地名&道路名	440303001000	440303	罗湖区	罗湖区	88	1
